WAMPI_prob,PCI_prob,LPI_prob,weathering_score_prob,file_name,WAMPI,PCI,LPI,API,BPI,catalog_number,sampled,museum,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication,weathering_score,WAMPI_classification,PCI_classification,LPI_classification,weathering_score_classification
0.9996547161592102,0.8590564049851236,0.606760434444909,0.8867642344992864,UCMP_148855,0.8118702866770796,2.960274385313596,0.6280701122135024,0.8067577145461337,1.2199540842839196,148855,TRUE,UCMP,NA,Teratornis merriami,Teratornis,merriami,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9998240584740719,0.7576959837569005,0.7153960155538848,0.8867642344992864,UCMP_148856,0.8438922552577273,3.125048093959931,0.958942882754116,0.6890206476444944,0.971718748367709,148856,TRUE,UCMP,NA,Teratornis merriami,Teratornis,merriami,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9999561202676419,0.8175150789705762,0.6933111413137563,0.8867642344992864,UCMP_148859,0.9098384787188658,3.036286458409283,0.8870136237772892,0.8931313545666834,1.208900072552282,148859,TRUE,UCMP,NA,Teratornis merriami,Teratornis,merriami,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.996187635151559,0.6225928261060624,0.6179471073508375,0.7549166492151614,UCMP_148860,0.6976677256821526,3.282942131019693,0.6600227906322357,0.7314525694711116,1.0598268519359604,148860,TRUE,UCMP,NA,Teratornis merriami,Teratornis,merriami,Rancho La Brea,NA,NA,NA,1,0,NA,1,1,1,1,1
0.9998636319735559,0.8468307583542141,0.6957663513918753,0.7549166492151614,UCMP_148873,0.8559926009415418,2.984350872899268,0.8948598163098123,0.7596349790243795,1.0357663535199204,148873,TRUE,UCMP,NA,Teratornis merriami,Teratornis,merriami,Rancho La Brea,NA,NA,NA,1,0,NA,1,1,1,1,1
0.9996754415549095,0.8130169918432817,0.5949422466060941,0.7549166492151614,UCMP_148874,0.8148105403175423,3.043660582242377,0.5946586884705866,0.7675491401910368,1.1376843558113914,148874,TRUE,UCMP,NA,Teratornis merriami,Teratornis,merriami,Rancho La Brea,NA,NA,NA,1,0,NA,1,1,1,1,1
0.9996289227293687,0.8794196960348452,0.5544745386839209,0.8867642344992864,UCMP_148875,0.8084482012720882,2.915963907079056,0.4823378670685918,0.7829795523906933,1.1652879002048393,148875,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9999999612130555,0.8667462802230365,0.7686989825479985,0.7549166492151614,UCMP_148876,1.243701196414129,2.944222184168625,1.14826517494749,1.0221741220195693,1.3206789472936902,148876,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,1,1,1,1,1
0.9859247161060992,0.8319692884678312,0.587628066151387,0.8867642344992864,UCMP_148877,0.6351547768031499,3.011585441030781,0.5741386320834597,0.7000731486983482,0.974802866702836,148877,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9991072423890218,0.8554664709957119,0.69953479889736,0.8867642344992864,UCMP_148878,0.7667376401732132,2.9675181200792196,0.9069725106322354,0.6438921513001764,1.0070179966785695,148878,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.5393553826201386,0.4390413713809398,0.5724656446238297,0.7549166492151614,UCMP_148879,0.44088123957577513,3.467031813107105,0.5319336659130783,0.4760284311506516,0.8425708021755391,148879,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,1,1,0,1,1
0.9999907348176931,0.8941272699568594,0.8953629152184158,0.8867642344992864,UCMP_148880,0.983685553156767,2.8797533818006418,1.7894721544967511,0.7993395852260753,1.170263011050001,148880,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9996119538442404,0.9213794353224783,0.5851099596377513,0.8867642344992864,UCMP_148881,0.8063242303850982,2.798863860343856,0.5670996115807974,0.7964150907034724,1.223944250995324,148881,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9997295234339637,0.803556387447807,0.7480277069539714,0.8867642344992864,UCMP_148884,0.8234683640556241,3.058736520896125,1.071748550117739,0.6416089166280583,1.158555214467336,148884,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9998119954839205,0.8376663637205515,0.6991889480837674,0.8867642344992864,UCMP_148885,0.8407428645477312,3.0013844056670105,0.9058572818274286,0.7059075842291237,1.041648481512828,148885,TRUE,UCMP,NA,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,NA,NA,NA,1,0,NA,0,1,1,1,1
0.9960569707957333,0.8475351433611303,0.8725147038970511,0.5478310118093532,UCMP_149255,0.6960613320063787,2.9830075738490125,1.6380420528684836,0.6536347316124899,1.180183574562049,149255,TRUE,UCMP,NA,Teratornis merriami,Teratornis,merriami,McKittrick,NA,NA,NA,1,0,[@fox-dobbs2006],2,1,1,1,1
