name,value,probability,sensitivity,specificity,pos_predict,neg_predict,p_value,alpha,beta
LPI,0.3334826997664491,0.499802944191293,1,0.05,0.7285714285714286,1,0.05679422937166797,-0.4926602896864408,1.474955272808094
PCI,3.4059383627508923,0.500598585544393,0.9215686274509803,0.3,0.7704918032786886,0.5999999999999998,0.003946798707002796,13.797525013673893,-4.050317181668097
WAMPI,0.43328812563989555,0.49945910666099724,0.9607843137254902,0.9,0.9607843137254902,0.9000000000000001,0.00330925220950985,-9.127236303315689,21.060057243986222
weathering_score,2.2062062062062062,0.49987506770731227,0.9411764705882353,0.25,0.761904761904762,0.6249999999999999,7.750004206552927e-4,2.0581070804423187,-0.9330980956505652
