file_name,WAMPI,PCI,LPI,catalog_number,museum,class,ordr,family,genus,species,name,element,remarks,field_num,loc_ID_num
UCMP_297836.0,0.560218372675007,3.1554793628638578,1.1783670208128934,297836,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 82,-7139
UCMP_297837.0,0.6587122458792284,3.160425540414715,1.3533439393846007,297837,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 78,-7139
UCMP_297838.0,0.5509929947057474,3.110746017850101,1.1835393487785182,297838,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",McK 1923,-7139
UCMP_297839.0,0.49759221706769874,3.1533538429576335,1.8025761261482118,297839,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 29,-7139
UCMP_297841.0,0.6922155244877781,3.2440561168449067,1.2464212350075934,297841,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,scapula,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 77,-7139
UCMP_297842.0,0.6165480776759978,3.139067952880991,1.1898326264885393,297842,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,scapula frag,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 84,-7139
UCMP_297843.0,0.29638783852001754,3.329989186284544,0.7715875158500677,297843,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,scapula frag,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 65,-7139
UCMP_297844.0,0.7398860855980571,3.1841083659089953,1.5035984645505163,297844,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 65,-7139
UCMP_297845.0,0.5645889820989766,3.227161583477819,1.3173414233235843,297845,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 65,-7139
UCMP_297846.0,0.6052192106425727,3.094155820392987,1.1552470453250105,297846,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 87,-7139
UCMP_297847.0,0.7018429632676594,3.030152528090149,1.3160584005011522,297847,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 78,-7139
UCMP_297848.0,0.8271196918851726,3.104779874844873,1.7008632459949793,297848,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 78,-7139
UCMP_297849.0,0.38966613446406456,3.1554317675364434,1.2145866394294194,297849,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Mck 1923,-7139
UCMP_297850.0,0.6484444997847555,3.1407932723005088,0.9403349946480696,297850,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Mck,-7139
UCMP_297851.0,0.4914917699174977,3.1500782272198244,1.2181288746557788,297851,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Mck,-7139
UCMP_297852.0,0.831341593346317,3.0445643491691343,1.2316359856073913,297852,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Mck,-7139
