name,value,probability
WAMPI,0.1826230080740776,0.005060657793104346
PCI,2.6399656797622795,0.9570914016541098
LPI,0.3287583477748773,0.4980609019326426
weathering_score,0,0.8867642344992864
WAMPI,0.18368514840274633,0.005174541520085293
PCI,2.641519376888017,0.9568322209095741
LPI,0.3334826997664491,0.499802944191293
weathering_score,0.004004004004004004,0.8863885345824114
WAMPI,0.18474728873141505,0.00529097442811207
PCI,2.6430730740137545,0.9565715456725504
LPI,0.33820705175802096,0.501544991234017
weathering_score,0.008008008008008008,0.8860117483799297
WAMPI,0.18580942906008377,0.005410012958112415
PCI,2.644626771139492,0.9563093681856386
LPI,0.34293140374959286,0.5032870007681666
weathering_score,0.012012012012012012,0.88563387381488
WAMPI,0.1868715693887525,0.005531714772452435
PCI,2.6461804682652295,0.9560456806616048
LPI,0.3476557557411647,0.5050289305047359
weathering_score,0.016016016016016016,0.8852549088135206
WAMPI,0.1879337097174212,0.005656138780083255
PCI,2.6477341653909674,0.9557804752833978
LPI,0.35238010773273654,0.5067707381624674
weathering_score,0.02002002002002002,0.8848748513053897
WAMPI,0.18899585004608993,0.0057833451621460315
PCI,2.649287862516705,0.9555137442041695
LPI,0.3571044597243084,0.5085123814719575
weathering_score,0.024024024024024024,0.8844936992233634
WAMPI,0.19005799037475865,0.005913395398040989
PCI,2.6508415596424424,0.9552454795472948
LPI,0.3618288117158802,0.510253818179757
weathering_score,0.028028028028028028,0.884111450503718
WAMPI,0.19112013070342737,0.006046352291965845
PCI,2.65239525676818,0.954975673406396
LPI,0.36655316370745206,0.5119950060524716
weathering_score,0.03203203203203203,0.8837281030861877
WAMPI,0.1921822710320961,0.006182279999929036
PCI,2.6539489538939174,0.954704317845368
LPI,0.37127751569902395,0.5137359028808559
weathering_score,0.036036036036036036,0.8833436549140273
WAMPI,0.1932444113607648,0.006321244057242993
PCI,2.655502651019655,0.954431404898406
LPI,0.3760018676905958,0.515476466483903
weathering_score,0.04004004004004004,0.8829581039340717
WAMPI,0.19430655168943353,0.006463311406502594
PCI,2.6570563481453924,0.9541569265700358
LPI,0.38072621968216763,0.5172166547129287
weathering_score,0.044044044044044044,0.8825714480967982
WAMPI,0.19536869201810225,0.0066085504260538904
PCI,2.6586100452711303,0.9538808748351457
LPI,0.3854505716737395,0.5189564254556485
weathering_score,0.04804804804804805,0.8821836853563866
WAMPI,0.19643083234677097,0.006757030958957892
PCI,2.660163742396868,0.9536032416390217
LPI,0.39017492366531137,0.5206957366402483
weathering_score,0.05205205205205205,0.8817948136707822
WAMPI,0.1974929726754397,0.006908824342454215
PCI,2.6617174395226053,0.953324018897383
LPI,0.3948992756568832,0.5224345462394444
weathering_score,0.056056056056056056,0.8814048310017569
WAMPI,0.1985551130041084,0.007064003437929136
PCI,2.663271136648343,0.9530431984964232
LPI,0.39962362764845505,0.5241728122745367
weathering_score,0.06006006006006006,0.8810137353149721
WAMPI,0.19961725333277713,0.007222642661392457
PCI,2.6648248337740803,0.9527607722928495
LPI,0.4043479796400269,0.5259104928194513
weathering_score,0.06406406406406406,0.8806215245800412
WAMPI,0.20067939366144585,0.0073848180144673635
PCI,2.666378530899818,0.9524767321139288
LPI,0.40907233163159873,0.5276475460047709
weathering_score,0.06806806806806806,0.8802281967705922
WAMPI,0.20174153399011457,0.007550607115897215
PCI,2.6679322280255553,0.9521910697575324
LPI,0.41379668362317057,0.5293839300217554
weathering_score,0.07207207207207207,0.879833749864331
WAMPI,0.2028036743187833,0.007720089233573149
PCI,2.669485925151293,0.9519037769921862
LPI,0.4185210356147424,0.5311196031263495
weathering_score,0.07607607607607608,0.8794381818431053
WAMPI,0.20386581464745201,0.007893345317085836
PCI,2.6710396222770303,0.9516148455571208
LPI,0.4232453876063143,0.5328545236431762
weathering_score,0.08008008008008008,0.8790414906929682
WAMPI,0.20492795497612074,0.008070458030804759
PCI,2.6725933194027682,0.9513242671623262
LPI,0.42796973959788615,0.5345886499695167
weathering_score,0.08408408408408408,0.8786436744042416
WAMPI,0.20599009530478946,0.0082515117874879
PCI,2.6741470165285057,0.9510320334886079
LPI,0.432694091589458,0.5363219405792771
weathering_score,0.08808808808808809,0.8782447309715811
WAMPI,0.20705223563345818,0.008436592782424557
PCI,2.6757007136542432,0.9507381361876458
LPI,0.4374184435810298,0.5380543540269356
weathering_score,0.0920920920920921,0.8778446583940409
WAMPI,0.2081143759621269,0.008625789028113524
PCI,2.6772544107799807,0.9504425668820559
LPI,0.4421427955726017,0.5397858489514773
weathering_score,0.0960960960960961,0.8774434546751386
WAMPI,0.20917651629079562,0.008819190389478683
PCI,2.678808107905718,0.9501453171654545
LPI,0.44686714756417356,0.5415163840803098
weathering_score,0.10010010010010009,0.8770411178229194
WAMPI,0.21023865661946434,0.009016888619623633
PCI,2.6803618050314557,0.9498463786025251
LPI,0.4515914995557454,0.5432459182331599
weathering_score,0.1041041041041041,0.8766376458500236
WAMPI,0.21130079694813306,0.009218977396126487
PCI,2.681915502157193,0.9495457427290878
LPI,0.45631585154731724,0.5449744103259538
weathering_score,0.10810810810810811,0.8762330367737495
WAMPI,0.21236293727680178,0.009425552357875695
PCI,2.683469199282931,0.9492434010521721
LPI,0.4610402035388891,0.5467018193746754
weathering_score,0.11211211211211211,0.8758272886161229
WAMPI,0.2134250776054705,0.009636711142447194
PCI,2.6850228964086686,0.9489393450500919
LPI,0.4657645555304609,0.5484281044992064
weathering_score,0.11611611611611611,0.8754203994039605
WAMPI,0.21448721793413922,0.009852553424022803
PCI,2.686576593534406,0.948633566172523
LPI,0.47048890752203276,0.5501532249271437
weathering_score,0.12012012012012012,0.8750123671689383
WAMPI,0.21554935826280794,0.010073180951849179
PCI,2.6881302906601436,0.9483260558405845
LPI,0.47521325951360466,0.551877139997595
weathering_score,0.12412412412412413,0.8746031899476575
WAMPI,0.21661149859147666,0.01029869758923614
PCI,2.689683987785881,0.9480168054469216
LPI,0.4799376115051765,0.5535998091649538
weathering_score,0.12812812812812813,0.8741928657817124
WAMPI,0.21767363892014538,0.010529209353092744
PCI,2.6912376849116186,0.9477058063557933
LPI,0.48466196349674834,0.5553211920026478
weathering_score,0.13213213213213212,0.8737813927177572
WAMPI,0.2187357792488141,0.010764824453998616
PCI,2.692791382037356,0.9473930499031605
LPI,0.48938631548832023,0.5570412482068668
weathering_score,0.13613613613613612,0.8733687688075747
WAMPI,0.21979791957748282,0.011005653336807676
PCI,2.6943450791630936,0.9470785273967801
LPI,0.4941106674798921,0.5587599376002635
weathering_score,0.14014014014014015,0.8729549921081432
WAMPI,0.22086005990615154,0.0112518087217806
PCI,2.695898776288831,0.9467622301162986
LPI,0.4988350194714639,0.5604772201356292
weathering_score,0.14414414414414414,0.8725400606817054
WAMPI,0.22192220023482026,0.01150340564624166
PCI,2.697452473414569,0.946444149313352
LPI,0.5035593714630358,0.562193055899544
weathering_score,0.14814814814814814,0.8721239725958371
WAMPI,0.22298434056348898,0.011760561506754844
PCI,2.6990061705403066,0.9461242762116666
LPI,0.5082837234546076,0.5639074051160006
weathering_score,0.15215215215215216,0.8717067259235158
WAMPI,0.2240464808921577,0.012023396101813489
PCI,2.700559867666044,0.9458026020071644
LPI,0.5130080754461794,0.5656202281499981
weathering_score,0.15615615615615616,0.8712883187431898
WAMPI,0.22510862122082642,0.012292031675036607
PCI,2.7021135647917816,0.9454791178680695
LPI,0.5177324274377513,0.5673314855111112
weathering_score,0.16016016016016016,0.8708687491388479
WAMPI,0.22617076154949514,0.012566592958864411
PCI,2.703667261917519,0.9451538149350208
LPI,0.5224567794293231,0.5690411378570279
weathering_score,0.16416416416416416,0.8704480152000886
WAMPI,0.22723290187816386,0.012847207218744609
PCI,2.7052209590432565,0.9448266843211848
LPI,0.527181131420895,0.5707491459970583
weathering_score,0.16816816816816815,0.8700261150221906
WAMPI,0.22829504220683258,0.013134004297799961
PCI,2.706774656168994,0.9444977171123737
LPI,0.5319054834124668,0.5724554708956141
weathering_score,0.17217217217217218,0.8696030467061827
WAMPI,0.2293571825355013,0.013427116661966785
PCI,2.708328353294732,0.944166904367166
LPI,0.5366298354040386,0.5741600736756561
weathering_score,0.17617617617617617,0.8691788083589141
WAMPI,0.23041932286417002,0.013726679445592745
PCI,2.7098820504204695,0.9438342371170304
LPI,0.5413541873956106,0.5758629156221121
weathering_score,0.18018018018018017,0.8687533980931257
WAMPI,0.23148146319283874,0.014032830497481611
PCI,2.711435747546207,0.9434997063664529
LPI,0.5460785393871824,0.5775639581852602
weathering_score,0.1841841841841842,0.8683268140275207
WAMPI,0.23254360352150746,0.014345710427370973
PCI,2.7129894446719445,0.9431633030930682
LPI,0.5508028913787543,0.579263162984082
weathering_score,0.1881881881881882,0.8678990542868358
WAMPI,0.23360574385017618,0.01466546265282808
PCI,2.714543141797682,0.9428250182477931
LPI,0.5555272433703261,0.580960491809581
weathering_score,0.1921921921921922,0.8674701170019135
WAMPI,0.23466788417884488,0.014992233446547595
PCI,2.7160968389234195,0.9424848427549646
LPI,0.560251595361898,0.5826559066280688
weathering_score,0.1961961961961962,0.867040000309773
WAMPI,0.23573002450751362,0.01532617198403365
PCI,2.717650536049157,0.9421427675124806
LPI,0.5649759473534698,0.5843493695844147
weathering_score,0.20020020020020018,0.8666087023536827
WAMPI,0.23679216483618232,0.0156674303916473
PCI,2.7192042331748945,0.9417987833919451
LPI,0.5697002993450416,0.586040843005263
weathering_score,0.2042042042042042,0.8661762212832328
WAMPI,0.23785430516485107,0.01601616379499895
PCI,2.720757930300632,0.9414528812388155
LPI,0.5744246513366136,0.5877302894022128
weathering_score,0.2082082082082082,0.8657425552544074
WAMPI,0.23891644549351976,0.016372530367663778
PCI,2.72231162742637,0.9411050518725551
LPI,0.5791490033281854,0.5894176714749628
weathering_score,0.2122122122122122,0.8653077024296576
WAMPI,0.2399785858221885,0.016736691380196983
PCI,2.7238653245521074,0.9407552860867882
LPI,0.5838733553197573,0.5911029521144202
weathering_score,0.21621621621621623,0.8648716609779749
WAMPI,0.2410407261508572,0.01710881124942305
PCI,2.725419021677845,0.9404035746494593
LPI,0.5885977073113291,0.592786094405771
weathering_score,0.22022022022022023,0.864434429074964
WAMPI,0.24210286647952595,0.017489057587973058
PCI,2.7269727188035824,0.9400499083029953
LPI,0.5933220593029009,0.5944670616315145
weathering_score,0.22422422422422422,0.8639960049029172
WAMPI,0.24316500680819464,0.017877601254040452
PCI,2.72852641592932,0.9396942777644731
LPI,0.5980464112944728,0.5961458172744584
weathering_score,0.22822822822822822,0.8635563866508873
WAMPI,0.2442271471368634,0.018274616401325595
PCI,2.7300801130550574,0.9393366737257884
LPI,0.6027707632860446,0.5978223250206772
weathering_score,0.23223223223223222,0.8631155725147628
WAMPI,0.24528928746553208,0.018680280529135892
PCI,2.731633810180795,0.9389770868538314
LPI,0.6074951152776165,0.5994965487624299
weathering_score,0.23623623623623624,0.8626735606973416
WAMPI,0.24635142779420083,0.019094774532607658
PCI,2.733187507306533,0.9386155077906635
LPI,0.6122194672691883,0.6011684526010391
weathering_score,0.24024024024024024,0.8622303494084056
WAMPI,0.24741356812286952,0.019518282753012504
PCI,2.7347412044322703,0.9382519271536995
LPI,0.6169438192607601,0.6028380008497314
weathering_score,0.24424424424424424,0.8617859368647964
WAMPI,0.24847570845153827,0.01995099302811012
PCI,2.736294901558008,0.937886335535894
LPI,0.621668171252332,0.6045051580364356
weathering_score,0.24824824824824826,0.8613403212904894
WAMPI,0.24953784878020696,0.020393096742505758
PCI,2.7378485986837453,0.9375187235059298
LPI,0.6263925232439038,0.6061698889065413
weathering_score,0.25225225225225223,0.86089350091667
WAMPI,0.2505999891088757,0.020844788877969637
PCI,2.739402295809483,0.937149081608413
LPI,0.6311168752354757,0.6078321584256179
weathering_score,0.25625625625625625,0.8604454739818087
WAMPI,0.2516621294375444,0.021306268063671807
PCI,2.7409559929352203,0.9367774003640696
LPI,0.6358412272270475,0.6094919317820893
weathering_score,0.2602602602602603,0.859996238731737
WAMPI,0.25272426976621315,0.021777736626284794
PCI,2.742509690060958,0.9364036702699484
LPI,0.6405655792186193,0.6111491743898693
weathering_score,0.26426426426426425,0.8595457934197243
WAMPI,0.25378641009488184,0.022259400639902276
PCI,2.7440633871866953,0.9360278817996257
LPI,0.6452899312101913,0.612803851890954
weathering_score,0.2682682682682683,0.859094136306553
WAMPI,0.2548485504235506,0.022751469975720855
PCI,2.745617084312433,0.9356500254034165
LPI,0.6500142832017631,0.6144559301579712
weathering_score,0.27227227227227224,0.858641265660596
WAMPI,0.2559106907522193,0.023254158351427568
PCI,2.7471707814381707,0.9352700915085881
LPI,0.654738635193335,0.6161053752966887
weathering_score,0.27627627627627627,0.8581871797578932
WAMPI,0.25697283108088803,0.023767683380234682
PCI,2.7487244785639082,0.9348880705195791
LPI,0.6594629871849068,0.6177521536484777
weathering_score,0.2802802802802803,0.8577318768822286
WAMPI,0.2580349714095567,0.024292266619498237
PCI,2.7502781756896457,0.9345039528182214
LPI,0.6641873391764787,0.6193962317927332
weathering_score,0.28428428428428426,0.8572753553252079
WAMPI,0.25909711173822547,0.02482813361885592
PCI,2.751831872815383,0.934117728763968
LPI,0.6689116911680506,0.6210375765492527
weathering_score,0.2882882882882883,0.8568176133863352
WAMPI,0.26015925206689416,0.025375513967814487
PCI,2.7533855699411207,0.933729388694124
LPI,0.6736360431596224,0.6226761549805674
weathering_score,0.2922922922922923,0.8563586493730915
WAMPI,0.2612213923955629,0.025934641342715625
PCI,2.754939267066858,0.9333389229240822
LPI,0.6783603951511943,0.6243119343942322
weathering_score,0.2962962962962963,0.8558984616010125
WAMPI,0.2622835327242316,0.02650575355300388
PCI,2.7564929641925957,0.9329463217475636
LPI,0.6830847471427661,0.6259448823450697
weathering_score,0.3003003003003003,0.8554370483937666
WAMPI,0.26334567305290035,0.0270890925867187
PCI,2.7580466613183336,0.9325515754368621
LPI,0.687809099134338,0.6275749666373708
weathering_score,0.30430430430430433,0.8549744080832336
WAMPI,0.26440781338156905,0.02768490465512695
PCI,2.759600358444071,0.9321546742430931
LPI,0.6925334511259098,0.6292021553270479
weathering_score,0.3083083083083083,0.8545105390095831
WAMPI,0.2654699537102378,0.028293440236410592
PCI,2.7611540555698086,0.9317556083964474
LPI,0.6972578031174816,0.6308264167237463
weathering_score,0.3123123123123123,0.8540454395213534
WAMPI,0.2665320940389065,0.028914954118318553
PCI,2.762707752695546,0.9313543681064498
LPI,0.7019821551090535,0.632447719392907
weathering_score,0.3163163163163163,0.8535791079755307
WAMPI,0.26759423436757523,0.029549705439689617
PCI,2.7642614498212836,0.9309509435622206
LPI,0.7067065071006253,0.6340660321577865
weathering_score,0.3203203203203203,0.8531115427376285
WAMPI,0.2686563746962439,0.03019795773074735
PCI,2.765815146947021,0.9305453249327449
LPI,0.7114308590921972,0.6356813241014293
weathering_score,0.32432432432432434,0.8526427421817665
WAMPI,0.2697185150249127,0.03085997895206588
PCI,2.7673688440727586,0.9301375023671428
