file_name,museum,catalog_number,UCIAMS_number,locality,taxon,genus,species,collagen_present,weathering_score,WAMPI,PCI,LPI,WAMPI_classification,data_type,publication
UCMP_259516,UCMP,259516,220373,Rancho La Brea,Equus,Equus,NA,1,2,0.7485903464898067,3.072612036314123,0.8265351697459039,1,training,NA
UCMP_259517,UCMP,259517,NA,Rancho La Brea,Equus,Equus,NA,0,2,0.275482241779711,3.447303009716422,1.049101451275568,0,training,NA
UCMP_27118,UCMP,27118,NA,McKittrick,Euceratherium,Euceratherium,NA,0,3,0.47541337076566376,3.2829759977568496,1.359568429058849,1,training,NA
UCMP_271213,UCMP,271213,264797,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.7343845615895696,3.099320139021939,0.7083098038594035,1,training,NA
UCMP_271214,UCMP,271214,264798,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.7913808192194866,2.944935164334949,0.6005511076606799,1,training,NA
UCMP_271215,UCMP,271215,264799,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,1.0484108390357405,3.064774003400543,1.1790724250143645,1,training,NA
UCMP_271216,UCMP,271216,264800,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,1.0013876098210877,2.9852395683487933,1.3710346006260945,1,training,NA
UCMP_271217,UCMP,271217,264801,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.9301586932933104,3.1079795350380093,1.1563434569395346,1,training,NA
UCMP_271219,UCMP,271219,264802,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.9620507237095192,3.0322270268320515,1.1213251839850225,1,training,NA
UCMP_271220,UCMP,271220,265002,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.9478720249697142,3.24603707962085,1.0849464665575186,1,training,NA
UCMP_271221,UCMP,271221,265003,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.8503991554544181,3.172048310053986,1.0565419203107749,1,training,NA
UCMP_271222,UCMP,271222,264807,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.7560948229855905,2.9282746066058736,0.5833772442634694,1,training,NA
UCMP_271223,UCMP,271223,265004,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.7864959813123658,3.1352372446895695,1.0253869934301694,1,training,NA
UCMP_271224,UCMP,271224,264809,Rancho La Brea,Aenocyon,Aenocyon,dirus,1,0,0.8181986526090951,2.858603155286058,0.5702630793429097,1,training,NA
UCMP_271225,UCMP,271225,264810,Rancho La Brea,Camelops,Camelops,NA,1,1,0.3852709326846896,3.376075215074845,0.906258552077299,0,training,NA
UCMP_271226,UCMP,271226,265005,Rancho La Brea,Camelops,Camelops,NA,1,1,0.5806895823440558,3.4144914816389886,0.473205293268697,1,training,NA
UCMP_271227,UCMP,271227,264812,Rancho La Brea,Camelops,Camelops,NA,1,3,0.31859084189494685,4.1442614236917015,0.8185150608756468,0,training,NA
UCMP_271228,UCMP,271228,NA,Rancho La Brea,Camelops,Camelops,NA,0,2,0.40249733373841434,3.7665719874252783,0.3287583477748773,0,training,NA
UCMP_271229,UCMP,271229,NA,Rancho La Brea,Camelops,Camelops,NA,0,3,0.32658712258211214,3.2827435993754155,0.5170397440481622,0,training,NA
UCMP_271230,UCMP,271230,265006,Rancho La Brea,Camelops,Camelops,NA,1,3,0.7134954035504786,3.294532507052417,0.6197910900714767,1,training,NA
UCMP_271231,UCMP,271231,264816,Rancho La Brea,Camelops,Camelops,NA,1,0,0.6970004401768706,2.9685448403287245,0.7065252162294468,1,training,NA
UCMP_271232,UCMP,271232,264817,Rancho La Brea,Camelops,Camelops,NA,1,1,0.46862339127057295,3.420459219482008,1.3529638265808754,1,training,NA
UCMP_271234,UCMP,271234,NA,Rancho La Brea,Camelops,Camelops,NA,0,2,0.2843460028652367,4.192109108374094,0.5396056359057814,0,training,NA
UCMP_271240,UCMP,271240,NA,McKittrick,Camelops,Camelops,NA,0,0,0.2929086723953884,3.28446637436007,1.0460038591786698,0,training,NA
UCMP_271241,UCMP,271241,NA,McKittrick,Bison,Bison,NA,0,3,0.3348785241570641,3.255274991771348,0.9550728133222453,0,training,NA
UCMP_271242,UCMP,271242,261772,McKittrick,Euceratherium,Euceratherium,NA,1,2,0.5112705201088609,3.152936123665658,0.771233969759093,1,training,NA
UCMP_271243,UCMP,271243,NA,McKittrick,Euceratherium,Euceratherium,NA,0,2,0.2937424895003797,3.524912365708943,0.8190494555824849,0,training,NA
UCMP_271244,UCMP,271244,261773,McKittrick,Artodactyla,NA,NA,1,4,0.9822348384177132,2.6399656797622795,2.035141686722246,1,training,NA
UCMP_271245,UCMP,271245,NA,McKittrick,Antilocapridae,NA,NA,0,1,0.2668267165206022,3.18115614941187,1.0776191611420387,0,training,NA
UCMP_271246,UCMP,271246,NA,McKittrick,Odocoileus,Odocoileus,NA,0,1,0.32278203501073416,3.1424025842347074,0.8469004234235036,0,training,NA
UCMP_271247,UCMP,271247,NA,McKittrick,Odocoileus,Odocoileus,NA,0,1,0.3009843139095,3.1064438210244596,0.7652301301637114,0,training,NA
UCMP_33120,UCMP,33120,NA,McKittrick,Mammut,Mammut,NA,0,4,0.2848331534733487,3.300709564372029,1.106816447839464,0,training,NA
