wavenumber,absorbance,file_name,catalog_number
538,0.15766686664980423,mckittrick_tar,tar
539,0.15991676452953085,mckittrick_tar,tar
540,0.16045678210198322,mckittrick_tar,tar
541,0.15963961364031443,mckittrick_tar,tar
542,0.15841449529966495,mckittrick_tar,tar
543,0.15774360896480244,mckittrick_tar,tar
544,0.1582463158707531,mckittrick_tar,tar
545,0.16008754042482248,mckittrick_tar,tar
546,0.16274398159211367,mckittrick_tar,tar
547,0.16495170583041296,mckittrick_tar,tar
548,0.16544460905531078,mckittrick_tar,tar
549,0.16407262188084187,mckittrick_tar,tar
550,0.1620688128703867,mckittrick_tar,tar
551,0.16113700248464735,mckittrick_tar,tar
552,0.1624448599138127,mckittrick_tar,tar
553,0.16635385149575144,mckittrick_tar,tar
554,0.17244048629560277,mckittrick_tar,tar
555,0.1794772847372958,mckittrick_tar,tar
556,0.1860413404976038,mckittrick_tar,tar
557,0.1917705573259506,mckittrick_tar,tar
558,0.197772860655767,mckittrick_tar,tar
559,0.2053368880388129,mckittrick_tar,tar
560,0.214290470475465,mckittrick_tar,tar
561,0.22276476756629748,mckittrick_tar,tar
562,0.22846964002333864,mckittrick_tar,tar
563,0.23030298767118917,mckittrick_tar,tar
564,0.22904282282252847,mckittrick_tar,tar
565,0.22656053974957602,mckittrick_tar,tar
566,0.22430178530443906,mckittrick_tar,tar
567,0.222543796559527,mckittrick_tar,tar
568,0.22088614044604243,mckittrick_tar,tar
569,0.21896826301558553,mckittrick_tar,tar
570,0.2166133547153697,mckittrick_tar,tar
571,0.21373281287134754,mckittrick_tar,tar
572,0.2104893575193278,mckittrick_tar,tar
573,0.20744892306396023,mckittrick_tar,tar
574,0.20521751788681053,mckittrick_tar,tar
575,0.20387588423611702,mckittrick_tar,tar
576,0.20300595395556764,mckittrick_tar,tar
577,0.20219145501719438,mckittrick_tar,tar
578,0.20110586618877718,mckittrick_tar,tar
579,0.19917214673170952,mckittrick_tar,tar
580,0.19570787399555323,mckittrick_tar,tar
581,0.19070791181299962,mckittrick_tar,tar
582,0.18528146129924283,mckittrick_tar,tar
583,0.1810698001543048,mckittrick_tar,tar
584,0.1791426119171377,mckittrick_tar,tar
585,0.17938262947121875,mckittrick_tar,tar
586,0.18083650135082485,mckittrick_tar,tar
587,0.18259222501547479,mckittrick_tar,tar
588,0.18427905380460535,mckittrick_tar,tar
589,0.1857528365692372,mckittrick_tar,tar
590,0.18654482762079239,mckittrick_tar,tar
591,0.18593958014439338,mckittrick_tar,tar
592,0.18361255936337412,mckittrick_tar,tar
593,0.18000109694768357,mckittrick_tar,tar
594,0.17605840128212413,mckittrick_tar,tar
595,0.1727826833443155,mckittrick_tar,tar
596,0.17089676650271968,mckittrick_tar,tar
597,0.17069853353321823,mckittrick_tar,tar
598,0.17212354750807846,mckittrick_tar,tar
599,0.17523681923445106,mckittrick_tar,tar
600,0.18081621906191253,mckittrick_tar,tar
601,0.18970661311834408,mckittrick_tar,tar
602,0.20061435124771704,mckittrick_tar,tar
603,0.2091179370318419,mckittrick_tar,tar
604,0.21040883147786488,mckittrick_tar,tar
605,0.20262475532476443,mckittrick_tar,tar
606,0.1859648198323074,mckittrick_tar,tar
607,0.16052016391459067,mckittrick_tar,tar
608,0.12958566929088144,mckittrick_tar,tar
609,0.10462174927752155,mckittrick_tar,tar
610,0.10001219137230899,mckittrick_tar,tar
611,0.11876671707503378,mckittrick_tar,tar
612,0.14648536116338456,mckittrick_tar,tar
613,0.16248699709963932,mckittrick_tar,tar
614,0.15586375133769326,mckittrick_tar,tar
615,0.13119211609191295,mckittrick_tar,tar
616,0.10234358170205898,mckittrick_tar,tar
617,0.081679731551772,mckittrick_tar,tar
618,0.07232741930820513,mckittrick_tar,tar
619,0.06893421429470503,mckittrick_tar,tar
620,0.06535737078411369,mckittrick_tar,tar
621,0.06063847338316247,mckittrick_tar,tar
622,0.057917402310277144,mckittrick_tar,tar
623,0.06004101059274214,mckittrick_tar,tar
624,0.06740326227258364,mckittrick_tar,tar
625,0.0785079592515906,mckittrick_tar,tar
626,0.09112244969039174,mckittrick_tar,tar
627,0.1031994279648839,mckittrick_tar,tar
628,0.11353881424827933,mckittrick_tar,tar
629,0.12173964964882039,mckittrick_tar,tar
630,0.1275436218914603,mckittrick_tar,tar
631,0.13061604600913196,mckittrick_tar,tar
632,0.13112193910147502,mckittrick_tar,tar
633,0.13009324670724304,mckittrick_tar,tar
634,0.1288579805097974,mckittrick_tar,tar
635,0.12816762955743072,mckittrick_tar,tar
636,0.12797901244666704,mckittrick_tar,tar
637,0.12794059440990896,mckittrick_tar,tar
638,0.12788552295638717,mckittrick_tar,tar
639,0.12783271513054822,mckittrick_tar,tar
640,0.1277398276568829,mckittrick_tar,tar
641,0.12767670957266847,mckittrick_tar,tar
642,0.12758476896352472,mckittrick_tar,tar
643,0.12764105959464994,mckittrick_tar,tar
644,0.12785222555282166,mckittrick_tar,tar
645,0.12782407874770935,mckittrick_tar,tar
646,0.12735012067448798,mckittrick_tar,tar
647,0.1272850667719625,mckittrick_tar,tar
648,0.12806383080150802,mckittrick_tar,tar
649,0.12843875746397065,mckittrick_tar,tar
650,0.1270841901159233,mckittrick_tar,tar
651,0.12426278670413937,mckittrick_tar,tar
652,0.12062402375527415,mckittrick_tar,tar
653,0.11747886668092744,mckittrick_tar,tar
654,0.1156208307469172,mckittrick_tar,tar
655,0.11500035185948548,mckittrick_tar,tar
656,0.11505307936728493,mckittrick_tar,tar
657,0.11523436654166413,mckittrick_tar,tar
658,0.11529033420256907,mckittrick_tar,tar
659,0.11518360718876897,mckittrick_tar,tar
660,0.11491347429837712,mckittrick_tar,tar
661,0.11446821852947803,mckittrick_tar,tar
662,0.11390107913750147,mckittrick_tar,tar
663,0.11334715349583918,mckittrick_tar,tar
664,0.11290800511992066,mckittrick_tar,tar
665,0.11253065752997748,mckittrick_tar,tar
666,0.11202521792968151,mckittrick_tar,tar
667,0.11124516302315834,mckittrick_tar,tar
668,0.1103014020423369,mckittrick_tar,tar
669,0.10956027695705645,mckittrick_tar,tar
670,0.10932260506931252,mckittrick_tar,tar
671,0.10947453729840251,mckittrick_tar,tar
672,0.10951816418292126,mckittrick_tar,tar
673,0.10899528071010833,mckittrick_tar,tar
674,0.10788949323120417,mckittrick_tar,tar
675,0.10663752713557545,mckittrick_tar,tar
676,0.1057994283881114,mckittrick_tar,tar
677,0.1057275298563683,mckittrick_tar,tar
678,0.10647167744814218,mckittrick_tar,tar
679,0.1078762311275635,mckittrick_tar,tar
680,0.1096747690089474,mckittrick_tar,tar
681,0.11146302975035327,mckittrick_tar,tar
682,0.11266708655721858,mckittrick_tar,tar
683,0.11276174841852915,mckittrick_tar,tar
684,0.1116974901488268,mckittrick_tar,tar
685,0.1100641278186053,mckittrick_tar,tar
686,0.10871050334461213,mckittrick_tar,tar
687,0.10818475779271403,mckittrick_tar,tar
688,0.10850165923932131,mckittrick_tar,tar
689,0.1092878969832729,mckittrick_tar,tar
690,0.11007197097080978,mckittrick_tar,tar
