catalog_number,museum,class,ordr,family,genus,species,name,element,remarks,field_num,loc_ID_num
297784,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Aquila chrysaetos,left tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 218,-7139
297785,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,left proximal carpometacarpus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 14,-7139
297786,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,left distal carpometacarpus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 15,-7139
297787,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal coracoid,"part of ""Fauna No. 2 Purchased""",Loc 1? Box 4,-7139
297788,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,left distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 1? Box 4,-7139
297789,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,left distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 1? Box 4,-7139
297790,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,left distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 7,-7139
297791,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,right distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 6,-7139
297792,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 1? Lot 4,-7139
297793,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 1? Lot 4,-7139
297794,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 2,-7139
297795,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 11,-7139
297796,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 11,-7139
297797,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 11,-7139
297798,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 15,-7139
297799,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 1? Box 4,-7139
297812,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 11,-7139
297813,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 13,-7139
297814,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 5 Lot 150,-7139
297815,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 5 Lot 150,-7139
297816,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Loc 5 Lot 150,-7139
297817,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal carpometacarpus,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 13,-7139
297818,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 13,-7139
297819,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 13,-7139
297820,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 13,-7139
297821,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 12,-7139
297822,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 11,-7139
297823,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal ulna,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 13,-7139
297824,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal ulna,"part of ""Fauna No. 2 Purchased""",Loc 5 Sec 13,-7139
297825,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal ulna,"part of ""Fauna No. 2 Purchased""",Loc 5 Lot 181,-7139
297833,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal carpometacarpus,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 65,-7139
297834,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal carpometacarpus,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 77,-7139
297835,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal carpometacarpus,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 82,-7139
297836,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 82,-7139
297837,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 78,-7139
297838,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",McK 1923,-7139
297839,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 29,-7139
297840,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 81,-7139
297841,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,scapula,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 77,-7139
297842,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,scapula frag,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 84,-7139
297843,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,scapula frag,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 65,-7139
297844,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 65,-7139
297845,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 65,-7139
297846,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 87,-7139
297847,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,phalanx proximalis digiti majoris,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 78,-7139
297848,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid,"part of ""Fauna No. 2 Purchased""",Lot 4 Lot 78,-7139
297849,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Mck 1923,-7139
297850,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,proximal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Mck,-7139
297851,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tarsometatarsus,"part of ""Fauna No. 2 Purchased""",Mck,-7139
297852,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",Mck,-7139
297853,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",,-7139
297854,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,carpometacarpus fragment,"part of ""Fauna No. 2 Purchased""",,-7139
