file_name,WAMPI,PCI,LPI,API,BPI,catalog_number,sampled,museum,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
UCMP_153254,0.20933034250560983,3.44450441100777,0.4365266890074492,0.37530881934077415,0.9155474676492269,153254,TRUE,UCMP,NA,Bison,Bison,NA,McKittrick,NA,NA,NA,FALSE,0,NA
UCMP_153256,0.2758883332882965,3.390625660956888,0.8731595022509614,0.43833720712794433,1.4592371360048768,153256,TRUE,UCMP,NA,Bison,Bison,NA,McKittrick,NA,NA,NA,FALSE,0,NA
UCMP_153257,0.6972374054422421,3.04838482153291,0.7705969692080438,0.7135092570771916,1.0300378128317988,153257,TRUE,UCMP,NA,Cervus elaphus,Cervus,elaphus,McKittrick,NA,NA,NA,TRUE,0,[@fox-dobbs2014]
UCMP_154372,0.8059502945788389,2.9984737665855574,1.9540075768172969,0.7867162969394232,1.7465783634924297,154372,TRUE,UCMP,219233,Gopherus,Gopherus,NA,McKittrick,NA,NA,NA,TRUE,0,NA
UCMP_154411,0.6709049893717774,2.8751404518213075,1.7570004762756743,0.7024624601113623,1.4489275134680282,154411,TRUE,UCMP,219234,Gopherus,Gopherus,NA,McKittrick,NA,NA,NA,TRUE,0,NA
UCMP_158263,0.9993993601272755,3.0209123894656207,1.337395600532294,0.8151677655462617,1.4190582963693394,158263,TRUE,UCMP,264043,Camelops,Camelops,NA,Rancho La Brea,NA,NA,NA,TRUE,0,NA
UCMP_158271,0.994348084360219,3.294407418848911,1.5629673395960613,0.8132633547284805,1.174460006716783,158271,TRUE,UCMP,264044,Camelops,Camelops,NA,Rancho La Brea,NA,NA,NA,TRUE,0,NA
UCMP_158276,1.078580031459069,2.7919535003366565,2.664340201239561,0.9548553378469689,1.5102646565699773,158276,TRUE,UCMP,268355,Camelops,Camelops,NA,Rancho La Brea,NA,NA,NA,TRUE,0,NA
UCMP_158277,0.9735014159112121,3.0910194227491115,1.7108418418805778,0.7917984772001033,0.993121505091796,158277,TRUE,UCMP,264045,Camelops,Camelops,NA,Rancho La Brea,NA,NA,NA,TRUE,0,NA
UCMP_158279,0.9425460069728576,3.051374736366887,1.186660725655619,0.7955773953978267,1.1175646339215692,158279,TRUE,UCMP,264046,Camelops,Camelops,NA,Rancho La Brea,NA,NA,NA,TRUE,0,NA
UCMP_158281,0.3657464525193944,2.823950852099063,0.950149401402809,0.5951628841634053,1.1378363264246085,158281,TRUE,UCMP,NA,Camelops,Camelops,NA,Rancho La Brea,NA,NA,NA,FALSE,0,NA
UCMP_212877,0.2838414728545298,3.16722771570829,0.9232233402805817,0.39470410014160257,1.032545653148201,212877,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,NA,NA,3,NA
UCMP_212880,0.3033140195658928,3.1111133957746366,0.9126522231694011,0.4319088138476781,1.1867024633853713,212880,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,NA,NA,2,NA
UCMP_212881,0.40571665087582476,2.8946245392639645,0.9581756156836526,0.5004635681374769,1.30062732164221,212881,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,NA,NA,2,NA
UCMP_212883,0.31570503689785545,3.294663381148045,0.8412842961784719,0.421653133717755,1.094063906395546,212883,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,NA,NA,3,NA
UCMP_212886,0.23853625690731944,3.2085999973684673,0.9488511307093357,0.3158966445962749,0.8576110515338531,212886,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,3,NA
UCMP_212887,0.38646247140811935,3.0767180369218763,1.1060932284638478,0.4729924440028836,1.3590321375655154,212887,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,2,NA
UCMP_212888,0.26103759159227224,3.246939337706751,1.4723046255157661,0.4484667453984885,1.396918594470419,212888,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,2,NA
UCMP_212891,0.3697471997465545,3.2562015617963675,1.0541816463436604,0.4234105531363069,1.0799094242809995,212891,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,3,NA
UCMP_233859,0.3147777199045051,3.2289009032987583,1.099106780390024,0.46482896412476105,1.3407901813456136,233859,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,4,NA
UCMP_233862,0.3172650129332581,3.2423202406497382,2.355781450410886,0.5284255831483046,1.3963097991147813,233862,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,4,NA
UCMP_233923,0.5390595833876359,2.9400480201271253,1.3229392575072476,0.5675340226960575,1.2201508993292607,233923,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,canine,NA,5,NA
UCMP_233952,0.37379474787705447,3.164223625810267,1.0285459644002954,0.49190986144346505,1.0449557519608896,233952,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,canine,NA,5,NA
UCMP_233971,0.32376080955774256,3.2917752711048545,1.3194097376065375,0.5340769468449739,1.1576931447024466,233971,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,canine,NA,5,NA
UCMP_233999,0.4858553622927114,3.0798401698285405,2.0109044362118635,0.6988543438626041,1.4829442588690724,233999,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,canine,NA,5,NA
UCMP_234164,0.35508508669001526,3.093745190269218,1.9002154646870062,0.5272790736890234,1.2255310690033865,234164,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234165,0.2627317856144209,3.3259725095317534,0.7013070831065935,0.309896821521967,0.8194056874805498,234165,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,3,NA
UCMP_234166,0.34987125740453434,3.3730404977147965,0.8863014807259746,0.4443018111200126,1.1154664689173217,234166,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234502,0.322619577979097,3.4508307806867093,0.8979934421696619,0.4115474277344939,0.9321855786446491,234502,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,canine,NA,5,NA
UCMP_234503,0.3958190254075024,3.0304812179291005,1.47590697838583,0.6321569252503182,1.2845830189073029,234503,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,canine,NA,5,NA
UCMP_234504,0.3728960518764409,3.1976907542437245,1.543399788216418,0.6171834515561561,1.3141064419584232,234504,TRUE,UCMP,NA,NA,Canis,latrans,McKittrick,NA,NA,canine,NA,5,NA
UCMP_234600,0.7300678730786785,3.248034501860952,1.373214517317428,0.6191145319868567,1.344370080388239,234600,TRUE,UCMP,280004,Hemiauchenia,Hemiauchenia,NA,McKittrick,7139,left,metatarsal,NA,1,NA
UCMP_234602,0.5989295257605624,3.2590979329963767,1.2610483214339736,0.5867740474828644,1.3114821155361776,234602,TRUE,UCMP,280006,Hemiauchenia,Hemiauchenia,NA,McKittrick,7139,right,metatarsal,NA,1,NA
UCMP_234604,0.6390041578458845,3.0188340648805374,1.5034350829789083,0.5906275948241174,1.3690520488694957,234604,TRUE,UCMP,NA,Hemiauchenia,Hemiauchenia,NA,McKittrick,7139,right,metatarsal,NA,1,NA
UCMP_234605,0.5923518878377749,3.1062767973339396,1.2059422543055467,0.5786852324486055,1.283143878423461,234605,TRUE,UCMP,280005,Hemiauchenia,Hemiauchenia,NA,McKittrick,7139,left,metatarsal,NA,1,NA
UCMP_234636,0.5748888347342263,3.012134146854038,1.1490848270794465,0.618455035012649,1.4783476165575147,234636,TRUE,UCMP,NA,NA,Bison,NA,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234637,0.346870439107634,3.407522576764776,0.5357127197917353,0.3951948410989149,1.3766414220172023,234637,TRUE,UCMP,NA,NA,Bison,NA,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234638,0.2956870402290046,3.169351664998356,0.8270917732673936,0.4510063468655278,1.3055312100653038,234638,TRUE,UCMP,NA,NA,Bison,NA,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234639,0.38972670788075986,3.245859639621779,1.4153045070252999,0.5151244906400042,1.346632219667166,234639,TRUE,UCMP,NA,NA,Euceratherium,collinum,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234640,0.7197723401733132,3.061694990032036,0.8593153990181429,0.5955401997024571,1.124386997489397,234640,TRUE,UCMP,NA,NA,Camelops,hesternus,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234682,0.5943562367288373,3.053484386916846,0.8819354100504063,0.496739453662001,1.078790926609419,234682,TRUE,UCMP,NA,NA,NA,NA,McKittrick,NA,NA,NA,NA,2,NA
UCMP_234683,0.5363745972992587,3.198154713524035,2.309126846317852,0.5323510990211461,1.1915798924917245,234683,TRUE,UCMP,NA,NA,Aenocyon,dirus,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234684,0.46823987848017884,3.0171413530662132,1.238812434859243,0.5488833235973749,1.4741444201058114,234684,TRUE,UCMP,280008,Hemiauchenia,Hemiauchenia,NA,McKittrick,7139,left,metatarsal,NA,1,NA
UCMP_234688,0.6336269101303154,3.0559814349835426,2.135628336641756,0.5955542015930545,1.4675969677630956,234688,TRUE,UCMP,NA,Antilocapra,Antilocapra,NA,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234724,0.292464170582852,3.1902689221393254,0.7952255899730886,0.4265680313570571,1.2867013552468831,234724,TRUE,UCMP,NA,Hemiauchenia,Hemiauchenia,NA,McKittrick,7139,right,metatarsal,NA,1,NA
UCMP_234734,0.41109734672796205,3.156490598690945,1.0174516758226317,0.5051723844247644,1.4536846781824693,234734,TRUE,UCMP,NA,Hemiauchenia,Hemiauchenia,NA,McKittrick,7139,right,metatarsal,NA,1,NA
UCMP_234822,0.41193113017922123,3.3905095844585564,1.6757986177360407,0.5304975374486479,1.4878922146042046,234822,TRUE,UCMP,NA,NA,Bison,NA,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234823,0.31074705851669604,3.251772901856572,1.6926041770351332,0.5229016576178351,1.762975876494705,234823,TRUE,UCMP,NA,NA,Bison,NA,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234834,0.364710133550726,3.1277661660443448,1.421025050447349,0.5237653451412424,1.6284976503887387,234834,TRUE,UCMP,NA,NA,Bison,NA,McKittrick,NA,NA,NA,NA,4,NA
UCMP_234975,0.420445100458919,3.1162238930150723,1.862955710603545,0.5184006814830815,1.4125667337999601,234975,TRUE,UCMP,NA,NA,NA,NA,McKittrick,NA,NA,NA,NA,2,NA
UCMP_234983,0.3147829201948824,3.155273248371852,0.8994286195628683,0.4415793911979306,1.1551857349506636,234983,TRUE,UCMP,NA,NA,Camelops,hesternus,McKittrick,NA,NA,NA,NA,4,NA
