sampled,museum,catalog_number,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
TRUE,UCMP,148880,,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148881,,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148884,,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148885,,Gymnogyps californianus,Gymnogyps,californianus,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,259499,220366,Smilodon,Smilodon,,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,259500,220367,Smilodon,Smilodon,,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,259501,220368,Smilodon,Smilodon,,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148855,,Teratornis merriami ,Teratornis,merriami ,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148856,,Teratornis merriami ,Teratornis,merriami ,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148859,,Teratornis merriami ,Teratornis,merriami ,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148860,,Teratornis merriami ,Teratornis,merriami ,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148873,,Teratornis merriami ,Teratornis,merriami ,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,148874,,Teratornis merriami ,Teratornis,merriami ,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,153238,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,212886,,,Aenocyon,dirus,McKittrick,,,,,3,
TRUE,UCMP,212887,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,212888,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,212891,,,Aenocyon,dirus,McKittrick,,,,,3,
TRUE,UCMP,234165,,,Aenocyon,dirus,McKittrick,,,,,3,
TRUE,UCMP,237718,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,237719,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,237720,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,237723,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,237731,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,237732,,,Aenocyon,dirus,McKittrick,,,,,2,
TRUE,UCMP,237742,,,Aenocyon,dirus,McKittrick,,,,,3,
TRUE,UCMP,233859,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,233862,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,234164,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,234166,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,237730,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,237766,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,237776,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,237779,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,237782,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,237973,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,237974,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,238807,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,246141,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,246142,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,246143,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,246144,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,246145,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,246208,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,246223,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,287265,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,297728,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,297729,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,297730,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,297731,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,234683,,,Aenocyon,dirus,McKittrick,,,,,4,
TRUE,UCMP,234688,,Antilocapra,Antilocapra,,McKittrick,,,,,4,
TRUE,UCMP,282633,,,Antilocapra,americanus,McKittrick,,,,,2,
TRUE,UCMP,246291,,,Antilocapra,americanus,McKittrick,,,,,4,
TRUE,UCMP,149245,,,Arctodus,,McKittrick,,,,,4,
TRUE,UCMP,235013,,,Bison,,McKittrick,,,,,2,
TRUE,UCMP,234636,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,234637,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,234638,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,234822,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,234823,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,234834,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,234991,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,234997,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,235014,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,235047,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,235258,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,237051,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,237052,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,239137,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,239926,,,Bison,,McKittrick,,,,,4,
