sampled,museum,catalog_number,genus,locality,collagen_present,weathering_score,tar_penetration,matrix_present,glue_present,plaster_present,prep_marks,interior_tar,breakage,age
TRUE,UCMP,271229,Camelops,Rancho La Brea,FALSE,3,2,1,0,0,0,1,1,adult
TRUE,UCMP,271230,Camelops,Rancho La Brea,TRUE,3,1,1,0,0,0,1,0,adult
TRUE,UCMP,271244,,McKittrick,TRUE,4,1,1,0,0,0,1,1,adult
TRUE,UCMP,33120,Mammut,McKittrick,FALSE,4,2,1,0,0,1,1,1,adult
TRUE,UCMP,149255,,,,2,,,,,,,,
TRUE,UCMP,149256,,,,2,,,,,,,,
TRUE,UCMP,149257,,,,2,,,,,,,,
TRUE,UCMP,153257,,,,1,,,,,,,,
TRUE,UCMP,259515,,,,2,,,,,,,,
TRUE,UCMP,259516,,,,2,,,,,,,,
TRUE,UCMP,259517,,,,2,,,,,,,,
TRUE,UCMP,271241,,,,3,,,,,,,,
